Manhattan_Steps,Manhattan_Time(s),AStar_Steps,AStar_Time(s),Price_Steps,Price_Time(s)
5,1.56e-04,5,1.42e-04,5,1.42e-04
6,1.54e-04,6,1.69e-04,6,1.73e-04
7,1.75e-04,7,1.87e-04,7,1.93e-04
8,2.13e-04,8,2.37e-04,8,2.40e-04
10,2.46e-04,10,4.29e-04,10,6.20e-04
10,2.36e-04,10,3.08e-04,10,3.12e-04
10,2.21e-04,10,4.22e-04,10,6.00e-04
12,2.79e-04,12,6.55e-04,12,8.70e-04
12,2.78e-04,12,6.99e-04,12,9.29e-04
12,2.72e-04,12,7.66e-04,12,1.36e-03
13,3.15e-04,13,7.04e-04,13,7.26e-04
13,2.83e-04,13,3.72e-04,13,4.11e-04
13,3.36e-04,13,6.56e-04,13,7.77e-04
13,3.13e-04,13,6.84e-04,13,6.98e-04
14,4.28e-04,14,7.28e-04,14,5.87e-04
14,2.19e-03,14,1.31e-02,14,3.01e-03
15,3.33e-04,15,9.92e-04,15,1.05e-03
15,6.11e-04,13,2.26e-03,13,1.59e-03
15,3.45e-04,15,4.70e-04,15,4.76e-04
15,3.29e-04,15,4.41e-04,15,4.52e-04
15,3.48e-04,15,6.12e-04,15,1.31e-03
16,4.04e-04,16,2.83e-03,16,1.64e-03
17,5.52e-04,17,7.12e-03,19,5.66e-03
17,7.64e-04,17,5.47e-03,21,2.23e-02
18,4.00e-04,18,3.48e-03,18,5.30e-03
18,4.05e-04,18,1.86e-03,18,1.89e-03
18,6.30e-04,18,7.33e-03,22,1.86e-02
19,4.22e-04,19,1.82e-03,19,2.38e-03
19,3.62e-04,19,1.32e-03,19,8.38e-04
20,7.53e-04,16,4.63e-03,16,1.14e-02
20,6.68e-04,20,1.59e-02,24,3.87e-02
20,6.65e-04,16,1.80e-03,16,1.55e-03
20,5.03e-04,18,5.29e-03,20,1.20e-02
21,8.39e-04,15,2.82e-03,15,1.12e-02
21,2.34e-03,13,9.75e-04,13,6.63e-04
22,7.61e-04,14,1.98e-03,14,3.80e-03
22,6.64e-04,18,8.95e-03,18,4.77e-03
22,2.21e-03,22,4.26e-02,22,1.35e-02
22,8.33e-04,18,5.34e-03,18,3.07e-03
22,6.56e-04,18,8.28e-03,22,1.20e-02
23,8.08e-04,17,5.07e-03,17,6.27e-03
23,7.17e-04,21,1.34e-02,21,2.35e-02
23,2.54e-03,17,3.89e-03,17,3.61e-03
24,7.73e-04,18,3.81e-03,18,4.99e-03
24,4.81e-04,24,5.58e-02,24,1.40e-02
24,9.14e-04,20,7.48e-03,20,9.23e-03
24,7.26e-04,22,2.49e-02,22,6.29e-03
24,4.86e-04,20,2.66e-03,20,2.38e-03
24,1.20e-03,18,6.49e-03,18,5.23e-03
25,2.61e-03,21,1.46e-02,23,3.42e-02
25,2.54e-03,19,4.18e-03,19,2.13e-03
25,2.31e-03,21,2.79e-02,21,6.69e-03
25,5.91e-04,25,4.35e-02,27,4.88e-02
25,8.40e-04,23,1.65e-02,23,9.89e-03
26,7.08e-04,24,3.95e-02,24,9.29e-02
26,7.28e-04,18,7.43e-03,18,2.26e-02
26,2.26e-03,20,1.67e-02,20,6.00e-03
26,9.10e-04,20,1.61e-02,20,1.00e-02
26,6.53e-04,18,2.24e-03,18,2.09e-03
26,7.27e-04,26,1.55e-01,26,1.41e-01
26,7.20e-04,18,6.30e-03,18,2.57e-03
26,9.36e-04,22,3.09e-02,22,1.50e-02
26,2.73e-03,16,3.46e-03,16,3.45e-03
27,6.82e-04,15,9.94e-04,15,1.38e-03
27,8.31e-04,23,3.01e-02,25,2.39e-02
27,6.88e-04,27,1.89e-01,27,6.68e-02
27,6.16e-04,27,1.28e-01,29,5.71e-02
28,9.70e-04,18,6.40e-03,20,4.55e-03
28,1.41e-03,18,1.77e-02,18,1.40e-02
28,3.11e-03,16,4.03e-03,16,1.61e-03
28,2.70e-03,20,1.17e-02,24,2.58e-02
28,7.94e-04,20,5.45e-03,20,4.30e-03
29,2.43e-03,21,1.03e-02,21,3.85e-03
29,1.93e-03,21,3.04e-02,21,1.05e-02
29,7.72e-04,23,1.76e-02,23,1.72e-02
29,2.50e-03,25,1.15e-01,25,5.21e-02
29,6.46e-04,25,3.02e-02,25,1.88e-02
29,9.41e-04,19,4.64e-03,19,1.44e-02
29,1.39e-03,21,1.45e-02,23,2.21e-02
30,1.62e-03,16,4.76e-03,16,4.78e-03
30,8.17e-04,20,8.75e-03,20,7.06e-03
30,1.49e-03,22,1.49e-02,22,7.86e-03
30,8.73e-04,12,6.50e-04,12,7.76e-04
30,9.50e-04,24,6.30e-02,24,9.82e-02
30,2.31e-03,18,1.72e-02,18,1.10e-02
31,2.43e-03,15,1.94e-03,15,2.13e-03
31,3.26e-03,17,5.64e-03,21,5.73e-03
31,1.38e-03,21,3.18e-02,23,2.30e-02
31,2.88e-03,19,9.56e-03,19,6.20e-03
31,1.52e-03,13,1.12e-03,13,2.00e-03
31,9.90e-04,15,8.16e-04,15,8.90e-04
31,3.35e-03,15,2.61e-03,15,2.60e-03
32,1.55e-03,18,9.05e-03,18,9.20e-03
32,6.99e-04,24,4.99e-02,28,6.02e-02
32,3.03e-03,24,6.36e-02,24,3.07e-02
32,1.19e-03,24,5.46e-02,24,2.14e-02
32,3.38e-03,20,1.91e-02,22,6.17e-03
32,2.42e-03,18,4.60e-03,18,5.22e-03
32,1.12e-03,20,9.95e-03,20,5.62e-03
32,2.43e-03,24,5.04e-02,24,2.40e-02
33,3.27e-03,15,2.58e-03,15,2.97e-03
33,1.25e-03,23,1.71e-02,23,2.23e-02
33,1.59e-03,19,9.61e-03,21,1.05e-02
33,9.66e-04,21,2.87e-03,21,2.37e-03
33,2.43e-03,17,3.22e-03,17,3.46e-03
34,1.84e-03,22,2.33e-02,24,1.25e-02
34,1.17e-03,20,9.37e-03,20,1.27e-02
34,2.79e-03,18,4.84e-03,18,7.72e-03
34,1.07e-03,22,1.41e-02,26,4.76e-02
34,1.61e-03,20,9.35e-03,20,1.54e-02
35,3.38e-03,19,5.29e-03,19,2.61e-03
35,5.22e-03,15,2.98e-03,15,3.47e-03
35,5.28e-03,17,6.23e-03,17,7.15e-03
35,1.27e-03,15,2.38e-03,15,2.28e-02
35,9.03e-04,13,4.52e-04,13,4.60e-04
35,1.61e-03,17,3.84e-03,17,4.35e-02
36,1.61e-03,14,1.33e-03,14,1.74e-03
36,1.95e-03,22,8.94e-03,22,2.94e-02
36,1.61e-03,18,6.08e-03,18,2.07e-02
36,1.57e-03,24,3.97e-02,26,3.05e-02
36,4.21e-03,16,3.65e-03,16,2.93e-03
36,1.79e-03,18,8.56e-03,24,4.05e-02
36,1.21e-03,24,7.47e-02,24,7.41e-02
37,4.65e-03,13,1.95e-03,13,3.64e-03
37,3.56e-03,17,2.26e-03,17,1.11e-03
37,2.56e-03,21,1.08e-02,21,1.17e-02
37,2.95e-03,25,4.06e-02,25,8.32e-02
37,4.02e-03,23,4.33e-02,25,2.32e-02
37,1.50e-03,23,4.61e-02,25,1.29e-01
37,1.55e-03,17,2.70e-03,17,2.05e-03
37,4.66e-03,21,4.11e-02,21,2.45e-02
37,4.83e-03,21,5.31e-03,21,2.38e-03
37,7.48e-04,23,7.50e-03,23,9.05e-03
37,1.59e-03,21,2.51e-02,21,1.54e-02
37,3.37e-03,15,3.31e-03,15,2.16e-03
37,1.61e-03,19,1.85e-02,19,1.98e-02
38,1.64e-03,24,5.22e-02,24,3.54e-02
38,4.40e-03,22,5.00e-02,22,2.94e-02
38,3.27e-03,22,1.07e-02,22,6.98e-03
38,1.48e-03,26,1.00e-01,26,6.26e-02
38,1.35e-03,20,2.92e-02,22,2.24e-02
38,1.72e-03,16,2.63e-03,16,3.72e-03
38,1.56e-03,24,3.58e-02,24,4.46e-02
38,1.69e-03,18,4.16e-03,18,2.02e-03
38,1.90e-03,14,1.44e-03,14,7.55e-04
38,1.53e-03,20,1.01e-02,22,2.44e-02
38,3.58e-03,18,5.10e-03,18,2.27e-03
39,2.28e-03,17,1.83e-03,17,1.99e-03
39,1.58e-03,11,7.09e-04,11,7.46e-04
39,3.97e-03,21,6.99e-03,21,9.16e-03
39,2.86e-03,23,3.09e-02,23,2.22e-02
39,1.13e-03,23,2.41e-02,23,1.33e-02
39,3.35e-03,13,1.71e-03,13,1.03e-03
39,1.00e-03,25,1.58e-02,25,1.41e-02
39,3.84e-03,25,6.33e-02,25,4.33e-02
39,3.39e-03,21,1.10e-02,21,1.54e-02
39,1.69e-03,15,1.37e-03,15,1.41e-03
39,1.53e-03,19,6.83e-03,19,1.38e-02
39,1.35e-03,23,5.51e-02,23,6.21e-02
40,3.14e-03,24,6.00e-02,24,7.97e-03
40,4.89e-03,14,1.42e-03,14,1.14e-03
40,1.53e-03,18,4.32e-03,18,9.03e-03
40,2.62e-03,22,2.10e-02,22,1.24e-02
40,1.42e-03,18,7.25e-03,18,7.06e-03
40,2.92e-03,20,4.40e-03,20,3.59e-03
40,3.53e-03,20,9.05e-03,20,2.19e-02
40,1.54e-03,20,1.32e-02,22,2.79e-02
40,5.45e-03,20,2.75e-02,20,9.13e-03
40,1.26e-03,20,9.90e-03,24,4.14e-02
40,3.29e-03,16,3.24e-03,16,3.83e-03
40,3.75e-03,12,1.06e-03,12,1.02e-03
40,1.55e-03,18,4.21e-03,18,2.24e-03
40,3.01e-03,20,1.65e-02,20,6.02e-03
40,1.66e-03,20,4.30e-03,20,4.25e-03
41,5.36e-03,17,4.84e-03,17,7.10e-03
41,2.81e-03,17,3.97e-03,17,8.99e-03
41,4.89e-03,17,6.78e-03,17,4.18e-02
41,8.67e-04,25,4.79e-02,25,4.39e-02
41,4.26e-03,17,4.57e-03,17,3.29e-03
41,2.98e-03,23,1.55e-02,27,2.68e-02
41,4.57e-03,19,1.06e-02,19,5.45e-03
41,2.93e-03,23,7.00e-02,23,4.16e-02
41,3.51e-03,19,6.80e-03,19,4.55e-03
41,3.61e-03,21,1.78e-02,21,4.11e-02
41,1.58e-03,19,1.33e-02,21,8.12e-03
41,1.76e-03,23,2.35e-02,27,4.15e-02
42,1.66e-03,24,2.19e-02,28,5.63e-02
42,3.56e-03,20,1.08e-02,20,1.01e-02
42,5.60e-03,16,2.48e-03,16,9.99e-04
42,1.89e-03,22,2.03e-02,22,9.67e-03
42,2.68e-03,22,2.47e-02,22,2.99e-02
42,5.40e-03,22,2.38e-02,22,1.45e-02
42,3.37e-03,24,3.31e-02,24,4.73e-02
42,3.07e-03,20,4.90e-03,20,2.71e-03
42,3.82e-03,14,7.83e-04,14,4.98e-04
42,3.05e-03,22,1.19e-02,22,3.33e-02
42,4.33e-03,18,7.48e-03,20,8.75e-03
42,3.03e-03,22,3.16e-02,22,6.09e-03
42,2.77e-03,20,9.33e-03,20,5.27e-03
42,3.03e-03,24,6.67e-02,24,3.74e-02
42,3.54e-03,24,4.09e-02,24,2.41e-02
42,1.85e-03,22,3.01e-02,22,2.93e-02
42,3.24e-03,22,2.36e-02,22,9.70e-03
42,3.58e-03,18,3.24e-03,18,3.38e-03
42,1.73e-03,20,1.08e-02,20,9.37e-03
42,2.04e-03,22,1.70e-02,22,3.61e-02
42,3.39e-03,14,1.22e-03,14,5.33e-04
43,1.15e-03,25,4.31e-02,29,1.85e-01
43,2.26e-03,25,6.15e-02,25,5.73e-02
43,3.41e-03,25,8.93e-02,27,8.84e-02
43,3.52e-03,25,1.25e-01,25,7.27e-02
43,1.38e-03,23,4.39e-02,23,2.25e-02
43,1.79e-03,17,1.40e-03,17,1.42e-03
43,1.53e-03,21,1.66e-02,21,2.74e-02
43,2.23e-03,25,8.16e-02,27,3.58e-01
43,2.87e-03,21,1.44e-02,21,1.24e-02
43,9.90e-04,27,7.85e-02,27,9.05e-02
43,1.89e-03,19,6.18e-03,19,6.16e-03
44,1.52e-03,22,3.03e-02,22,8.69e-03
44,5.36e-03,22,2.10e-02,22,1.60e-02
44,3.35e-03,22,2.05e-02,24,1.02e-02
44,6.00e-03,18,4.85e-03,18,4.30e-03
44,3.44e-03,18,2.29e-03,18,7.68e-04
44,1.49e-03,20,5.70e-03,20,5.36e-03
44,5.76e-03,20,9.59e-03,20,1.18e-02
44,2.46e-03,18,5.26e-03,20,1.03e-02
44,1.67e-03,22,1.87e-02,22,2.01e-02
44,1.63e-03,18,6.76e-03,18,7.28e-03
44,1.92e-03,22,2.60e-02,22,3.57e-02
45,5.01e-03,23,4.15e-02,23,3.08e-02
45,2.61e-03,19,1.36e-02,19,1.42e-02
45,5.35e-03,17,2.91e-03,17,2.16e-03
45,1.75e-03,23,4.38e-02,23,3.48e-02
45,3.63e-03,21,1.26e-02,25,2.70e-02
45,2.23e-03,25,5.63e-02,27,6.71e-02
45,4.70e-03,23,3.68e-02,23,5.53e-02
45,2.11e-03,25,2.03e-02,25,2.46e-02
45,1.68e-03,19,3.92e-03,19,8.26e-03
45,4.74e-03,17,6.24e-03,17,4.32e-03
45,5.16e-03,19,7.16e-03,19,4.28e-03
45,1.76e-03,21,1.51e-02,27,3.89e-02
45,4.39e-03,17,3.97e-03,17,5.78e-03
45,1.75e-03,21,2.83e-02,21,8.87e-03
45,4.76e-03,21,1.67e-02,21,6.24e-03
45,3.86e-03,13,1.13e-03,13,1.06e-03
46,3.69e-03,24,5.70e-02,28,5.51e-02
46,6.57e-03,22,2.27e-02,22,2.43e-02
46,3.49e-03,20,1.19e-02,20,3.54e-03
46,2.88e-03,20,8.01e-03,20,5.08e-03
46,1.72e-03,20,7.66e-03,20,1.09e-02
46,1.35e-02,22,2.66e-02,22,1.41e-02
46,1.08e-03,28,1.27e-01,28,4.09e-02
46,1.67e-03,20,4.57e-03,20,3.10e-03
46,3.70e-03,22,2.55e-02,26,2.37e-02
46,1.94e-03,24,4.71e-02,24,4.56e-02
46,2.64e-03,22,2.23e-02,26,8.71e-03
46,5.17e-03,22,2.03e-02,24,2.12e-02
46,5.74e-03,20,5.64e-03,22,3.94e-03
46,2.03e-03,14,2.28e-03,14,1.60e-02
47,1.94e-03,21,2.38e-02,21,1.60e-02
47,1.94e-03,19,1.12e-02,19,2.38e-02
47,4.27e-03,19,8.33e-03,19,3.16e-03
47,1.76e-03,21,1.66e-02,21,6.19e-03
47,1.38e-02,21,1.82e-02,21,1.94e-02
47,3.61e-03,19,5.14e-03,19,2.96e-03
47,1.65e-03,23,1.43e-02,23,2.07e-02
47,4.88e-03,21,1.48e-02,23,8.42e-03
47,3.68e-03,27,1.27e-01,27,1.94e-01
47,1.76e-03,19,7.34e-03,19,1.91e-02
47,3.55e-03,21,2.56e-02,25,7.63e-02
47,1.15e-03,29,1.64e-01,29,1.28e-01
47,1.85e-03,19,5.68e-03,19,9.71e-03
48,2.73e-03,18,5.76e-03,18,3.05e-03
48,2.35e-03,20,6.99e-03,20,1.51e-02
48,5.40e-03,24,3.64e-02,24,1.70e-02
48,3.49e-03,24,3.08e-02,24,2.36e-02
48,1.96e-03,26,8.02e-02,26,3.26e-02
48,4.93e-03,18,4.07e-03,18,1.42e-03
48,4.43e-03,22,4.96e-02,22,3.55e-02
48,5.63e-03,20,1.46e-02,20,1.55e-02
48,3.78e-03,20,4.55e-03,20,3.99e-03
48,3.28e-03,26,3.23e-02,26,5.96e-02
48,1.62e-03,24,6.45e-02,26,1.83e-02
48,4.79e-03,20,1.17e-02,20,1.68e-02
48,1.78e-03,12,8.15e-04,12,1.01e-03
48,4.23e-03,22,1.79e-02,22,7.38e-03
48,3.64e-03,26,1.38e-01,28,3.33e-02
48,1.81e-03,22,1.61e-02,22,2.86e-02
48,2.48e-03,16,2.05e-03,16,7.87e-04
48,2.45e-03,22,2.51e-02,22,2.44e-02
48,1.58e-03,20,9.37e-03,24,1.47e-02
48,2.80e-03,26,1.11e-01,26,8.36e-03
49,1.68e-03,21,1.64e-02,23,1.70e-02
49,2.91e-03,19,9.99e-03,19,5.77e-03
49,2.42e-03,25,1.08e-01,27,1.12e-01
49,1.86e-03,21,6.11e-03,21,2.60e-02
49,1.58e-03,23,2.97e-02,25,3.85e-02
49,3.65e-03,21,1.33e-02,21,1.57e-02
49,5.27e-03,21,2.64e-02,21,3.96e-02
49,1.88e-03,27,1.72e-01,27,1.21e-01
49,4.21e-03,19,4.37e-03,19,1.68e-03
49,1.84e-03,25,8.08e-02,25,3.33e-02
49,1.87e-03,23,3.51e-02,23,1.14e-02
49,3.45e-03,23,4.18e-02,23,5.94e-02
49,3.54e-03,17,5.61e-03,17,4.32e-03
49,7.02e-03,27,1.61e-01,27,5.06e-02
49,5.21e-03,21,3.02e-02,23,1.36e-02
49,2.24e-03,21,2.13e-02,21,5.81e-03
49,3.99e-03,17,4.86e-03,17,2.89e-03
49,4.19e-03,19,5.37e-03,19,9.45e-03
50,3.84e-03,24,1.06e-01,24,4.71e-02
50,1.77e-03,26,1.20e-01,28,5.96e-02
50,5.17e-03,24,2.92e-02,24,9.04e-03
50,4.39e-03,22,1.87e-02,24,1.44e-02
50,1.96e-03,20,1.93e-02,20,1.68e-02
50,4.52e-03,22,2.60e-02,22,9.95e-03
50,5.18e-03,26,1.17e-01,26,3.02e-02
50,1.75e-03,26,1.29e-01,28,1.60e-01
50,1.01e-02,20,1.24e-02,20,5.80e-03
50,1.90e-03,20,3.05e-03,20,1.06e-03
50,2.01e-03,24,9.10e-02,24,6.34e-02
50,2.09e-03,24,5.54e-02,24,2.73e-02
50,4.97e-03,24,5.78e-02,26,3.19e-02
50,4.35e-03,22,1.35e-02,24,3.18e-02
50,1.99e-03,22,4.09e-02,22,4.62e-02
50,1.91e-03,26,5.84e-02,26,1.49e-01
50,4.94e-03,22,3.34e-02,26,3.60e-02
51,2.08e-03,23,3.75e-02,23,2.80e-02
51,2.10e-03,23,5.38e-02,23,1.66e-02
51,5.24e-03,21,5.05e-03,21,4.64e-03
51,5.86e-03,17,1.26e-03,17,1.02e-03
51,1.61e-03,21,1.04e-02,21,2.43e-02
51,2.80e-03,23,2.07e-02,23,1.00e-02
